SMILES,ID,pH
CN1N=C(SC1=NC(C)=O)S(N)(=O)=O,R320,5.5
CC(=O)CC(C)=O,R321,7.4
CC(=O)CCC(O)=O,R322,7.4
CC(C)(C(O)=O)C(O)=O,R323,1
ClCCNC(=O)N(CCCl)N=O,R324,4
CCCCC#N,R325,7
CC(C)CC#N,R326,1
CCC(C)C#N,R327,1
CC(C)(C)C#N,R328,7
CC(C)(C)C#N,R329,1
O=C1CCCCN1,R330,7.4
OC(=O)[C@H]1NCCC1,R331,7
OC(=O)[C@H]1NCCC1,R332,7.1
CC(NC(C)=O)C(O)=O,R333,7.4
NC(CCC(O)=O)C(O)=O,R334,7
NC(CCC(O)=O)C(O)=O,R335,7.1
NC(CCC(O)=O)C(O)=O,R336,7.4
NCCC1=CNC=N1,R337,11.8
BrCC(=O)NCCC,R338,7.1
CC(NC(C)=O)C(N)=O,R339,7.1
O=C(NC)CNC(=O)C,R340,2.1
CC(NC(C)=O)C(N)=O,R341,7
CC1CN(O)C(=O)C1N,R342,7.4
CC(=O)NC(CS)C(N)=O,R343,7.1
NC(CCC(N)=O)C(O)=O,R344,7.1
CC(=O)NC(CO)C(N)=O,R345,7.1
OC(CN1C=CN=C1)(P(O)(O)=O)P(O)(O)=O,R346,6.8
CN1CSC(=S)N(C)C1,R347,7
NC(=O)N(CCCN(N=O)C(N)=O)N=O,R348,4
CCCC(C)=O,R349,7
CCOC(=O)CC,R350,7.4
CC(C)(C)C(O)=O,R351,2
CC(C)CC(O)=O,R352,1
O[C@H]([C@H](O)CO)[C@@H](O)C=O,R353,7.4
CS(=O)(=O)OCC(O)C1CO1,R354,4.4
CN(CCCl)CCCl,R355,7.4
CCNCC=C,R356,13
C1CCNCC1,R357,13
C1CCNCC1,R358,9.4
CCCCOC(N)=O,R359,7.4
CC(C)COC(N)=O,R360,7.4
CC(C)(C)OC(N)=O,R361,7.4
CCCOC(=O)NC,R362,7.4
CC(C)C(N)C(O)=O,R363,7
CC(C)C(N)C(O)=O,R364,7.1
OC(=O)C(NC)(C)C,R365,7.4
CSCCC(N)C(O)=O,R366,7.1
CSCCC(N)C(O)=O,R367,7
CC(C)CN(N=O)C(N)=O,R368,4
CCCCN(N=O)C(N)=O,R369,4
CCOP(O)(=O)C(Cl)(Cl)P(O)(=O)OCC,R370,7.4
CN(C)CCCF,R371,7.4
N1(N)CCCCC1,R372,9
CN(C)C(=S)N(C)C,R373,6.5
CCNC(=S)NCC,R374,6.5
CCCCCO,R375,7
CCCCCN,R376,7
CCCCCN,R377,13
CCCCCN,R378,9.4
CCCCCN,R379,13
CCNC(C)C,R380,13
CN(C)C(=N)N(C)C,R381,13
NCCCCCN,R382,7.5
ClC1=C(Cl)C(Cl)=C(C(Cl)=C1Cl)N(=O)=O,R383,7
ClC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,R384,7
ClC1=C2NN=NC2=C(Cl)C(Cl)=C1Cl,R385,7.3
OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,R386,1.2
OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,R387,1
OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,R388,2
OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,R389,5.8
OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,R390,1.4
OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,R391,1
OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,R392,7
OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,R393,3
SC1=C(F)C(F)=C(F)C(F)=C1F,R394,2
OC1=C(Cl)C=C(C(Cl)=C1Cl)N(=O)=O,R395,1
OC1=CC(Cl)=C(Cl)C(Cl)=C1Cl,R396,2
OC1=C(Cl)C=C(Cl)C(Cl)=C1Cl,R397,1
OC1=C(Cl)C=C(Cl)C(Cl)=C1Cl,R398,2
OC1=C(Cl)C=C(Cl)C(Cl)=C1Cl,R399,2
OC1=C(O)C(Cl)=C(Cl)C(Cl)=C1Cl,R400,1
[2H]C1=C([2H])C([2H])=C(N)C([2H])=C1[2H],R401,7.4
FC1=CC(F)=C(F)C(S)=C1F,R402,2
OC1=C(Br)C=C(C=C1Br)N(=O)=O,R403,1
OC1=C(Br)C(O)=C(Br)C=C1Br,R404,1.4
OC(=O)C1=NC(Cl)=CC=C1Cl,R405,5
OC(=O)C1=NC(Cl)=CC=C1Cl,R406,5
OC(=O)C1=NC(Cl)=CC=C1Cl,R407,7
OC(=O)C1=NC(Cl)=CC=C1Cl,R408,9
OC1=CC(Cl)=C(Cl)C(Cl)=C1,R409,2
OC1=C(Cl)C=C(Cl)C(Cl)=C1,R410,7
OC1=C(Cl)C=C(Cl)C(Cl)=C1,R411,2
OC1=C(Cl)C=C(Cl)C(Cl)=C1,R412,1
OC1=C(Cl)C=C(Cl)C=C1Cl,R413,2
OC1=C(Cl)C=C(Cl)C=C1Cl,R414,1
OC1=C(Cl)C=C(Cl)C=C1Cl,R415,7
OC1=C(Cl)C=C(Cl)C=C1Cl,R416,8
OC1=C(Cl)C=C(Cl)C=C1Cl,R417,3
OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,R418,2.7
OC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,R419,1
BrC1=CC=C(C=C1)N(=O)=O,R420,7
OC1=CC=C(Cl)C=C1N(=O)=O,R421,1.5
OC1=CC=C(C=C1Cl)N(=O)=O,R422,7.4
OC1=C(Cl)C(Cl)=CC=C1,R423,2
OC1=CC(Cl)=CC(Cl)=C1,R424,7.4
OC1=CC(Cl)=CC(Cl)=C1,R425,7.4
OC1=CC=C(Cl)C=C1Cl,R426,2
ClC1=C(S)C=CC=C1Cl,R427,2
ClC1=C(S)C=CC(Cl)=C1,R428,2
SC1=CC(Cl)=CC(Cl)=C1,R429,2
SC1=C(Cl)C=CC=C1Cl,R430,2
FC1=CC=C(C=C1)N(=O)=O,R431,7
FC1=CC=CC(=C1)N(=O)=O,R432,7
OC1=CC(F)=CC=C1N(=O)=O,R433,1.5
FC1=CC=C(S)C(F)=C1,R434,2
OC1=C(NC=CC1=O)C(F)(F)F,R435,7.4
OC(=O)C1=CN=CC(I)=C1,R436,7.4
OC(=O)C1=CN=CC(I)=C1,R437,7.4
OC(=O)C1=CN=CC(I)=C1,R438,4.8
N#CC1=CC=CN=C1,R439,7.2
O=N1=CC=C(C=C1)C#N,R440,1
OC1=C(C=CC=C1N(=O)=O)N(=O)=O,R441,1
OC1=C(C=CC=C1N(=O)=O)N(=O)=O,R442,12
OC1=CC(=CC=C1N(=O)=O)N(=O)=O,R443,1.5
OC1=CC(=CC=C1N(=O)=O)N(=O)=O,R444,1
OC1=CC=C(C=C1N(=O)=O)N(=O)=O,R445,2
OC1=CC=C(C=C1N(=O)=O)N(=O)=O,R446,1.5
OC1=CC=C(C=C1N(=O)=O)N(=O)=O,R447,7.5
OC1=CC=C(C(=C1)N(=O)=O)N(=O)=O,R448,12
OC1=CC=C(C(O)=C1N(=O)=O)N(=O)=O,R449,0.2
O=N(=O)C1=CC=C2N=NNC2=C1,R450,7.3
O=N(=O)C1=CNC2=NC=CN=C12,R451,7.4
BrC1=CC=CC=C1,R452,7
CN1C=NC2=C(Br)N=CN=C12,R453,7.4
CN1C=NC2=NC=NC(Br)=C12,R454,7.4
OC1=CC=C(Br)C=C1,R455,5.6
OC1=CC=C(Br)C=C1,R456,1
OC1=CC(Br)=CC=C1,R457,1
ClC1=C(S)C=C(Cl)C=C1,R458,2
SC1=CC(Br)=CC=C1,R459,2
SC1=CC=C(Br)C=C1,R460,2
BrC=1C(S)=CC=CC1,R461,2
NS(=O)(=O)C1=CC=C(Cl)C(=C1)N(=O)=O,R462,2
CN1C=NC2=C(Cl)N=CN=C12,R463,7.4
CN1C=NC2=NC=NC(Cl)=C12,R464,7.4
OC1=CC=CC=C1Cl,R465,2
OC1=CC=C(Cl)C=C1,R466,5.6
OC1=CC=C(Cl)C=C1,R467,2
OC1=CC=C(Cl)C=C1,R468,1
OC1=CC(Cl)=CC=C1,R469,2
OC1=CC(Cl)=CC=C1,R470,2
OC1=CC(Cl)=CC=C1,R471,1
OC1=CC(Cl)=CC=C1,R472,7
OC1=CC(Cl)=CC=C1,R473,7.4
SC1=CC=CC=C1Cl,R474,2
SC1=CC=C(Cl)C=C1,R475,2
NS(=O)(=O)C1=CC=C(Cl)C(Cl)=C1,R476,2
FC1=CC=CC=C1,R477,7.4
CC(=O)N1C(=O)NC=C(F)C1=O,R478,4
COC(=O)N1C=C(F)C(=O)NC1=O,R479,4
CN1C=NC2=C(F)N=CN=C12,R480,7.4
CN1C=NC2=NC=NC(F)=C12,R481,7.4
OC1=CC=C(F)C=C1,R482,1
SC=1C(F)=CC=CC1,R483,2
FC1=CC=C(S)C=C1,R484,2
FC1=CC=CC(S)=C1,R485,2
OC1=CC(I)=CC=C1,R486,1
OC1=CC=C(I)C=C1,R487,1
O=NC1=CC=CC=C1,R488,7.5
O=N(=O)C1=CC=CC=C1,R489,7
OC(=O)C1=CC=CC=N1,R490,2
OC(=O)C1=CC=CC=N1,R491,7.4
OC(=O)C1=CC=CC=N1,R492,7.4
OC(=O)C1=CC=NC=C1,R493,3.8
OC(=O)C1=CN=CC=C1,R494,6
OC(=O)C1=CN=CC=C1,R495,4.5
OC(=O)C1=CN=CC=C1,R496,3
OC1=CC=C(C=C1)N=O,R497,2.5
OC1=CC=C(C=C1)N(=O)=O,R498,6.8
OC1=CC=C(C=C1)N(=O)=O,R499,7.4
OC1=CC=C(C=C1)N(=O)=O,R500,7
OC1=CC=C(C=C1)N(=O)=O,R501,2
OC1=CC=C(C=C1)N(=O)=O,R502,1.5
